1,Aditya,4
2,Ashwin,3.85
3,Shubham,3.9
4,Rohit,3
5,Aditya,4
6,Ashwin,3.85
7,Shubham,3.9
8,Rohit,3
9,Aditya,4
10,Ashwin,3.85
11,Shubham,3.9
12,Rohit,3
13,Aditya,4
14,Ashwin,3.85
15,Shubham,3.9
16,Rohit,3
17,Aditya,4
18,Ashwin,3.85
19,Shubham,3.9
20,Rohit,3
21,Aditya,4
22,Ashwin,3.85
23,Shubham,3.9
24,Rohit,3
25,Aditya,4
26,Ashwin,3.85
27,Shubham,3.9
28,Rohit,3
29,Aditya,4
30,Ashwin,3.85
31,Shubham,3.9
32,Rohit,3
33,Aditya,4
34,Ashwin,3.85
35,Shubham,3.9
36,Rohit,3
37,Aditya,4
38,Ashwin,3.85
39,Shubham,3.9
40,Rohit,3
41,Aditya,4
42,Ashwin,3.85
43,Shubham,3.9
44,Rohit,3
45,Aditya,4
46,Ashwin,3.85
47,Shubham,3.9
48,Rohit,3
49,Aditya,4
50,Ashwin,3.85
51,Shubham,3.9
52,Rohit,3
53,Aditya,4
54,Ashwin,3.85
55,Shubham,3.9
56,Rohit,3
57,Aditya,4
58,Ashwin,3.85
59,Shubham,3.9
60,Rohit,3
61,Aditya,4
62,Ashwin,3.85
63,Shubham,3.9
64,Rohit,3
65,Aditya,4
66,Ashwin,3.85
67,Shubham,3.9
68,Rohit,3
69,Aditya,4
70,Ashwin,3.85
71,Shubham,3.9
72,Rohit,3
73,Aditya,4
74,Ashwin,3.85
75,Shubham,3.9
76,Rohit,3
77,Aditya,4
78,Ashwin,3.85
79,Shubham,3.9
80,Rohit,3
81,Aditya,4
82,Ashwin,3.85
83,Shubham,3.9
84,Rohit,3
85,Aditya,4
86,Ashwin,3.85
87,Shubham,3.9
88,Rohit,3
89,Aditya,4
90,Ashwin,3.85
91,Shubham,3.9
92,Rohit,3
93,Aditya,4
94,Ashwin,3.85
95,Shubham,3.9
96,Rohit,3
97,Aditya,4
98,Ashwin,3.85
99,Shubham,3.9
100,Rohit,3
101,Aditya,4
102,Ashwin,3.85
103,Shubham,3.9
104,Rohit,3
105,Aditya,4
106,Ashwin,3.85
107,Shubham,3.9
108,Rohit,3
109,Aditya,4
110,Ashwin,3.85
111,Shubham,3.9
112,Rohit,3
113,Aditya,4
114,Ashwin,3.85
